Iteration	Posterior	Likelihood	Prior	clock_host	phy_scale[1]	phy_scale[2]	switch_rate_0_to_1	switch_rate_1_to_0	switch_rate_1_to_2	switch_rate_2_to_1	switch_rates[1]	switch_rates[2]	switch_rates[3]	switch_rates[4]	switch_rates[5]	switch_rates[6]	switch_rates_pos[1]	switch_rates_pos[2]	switch_rates_pos[3]	switch_rates_pos[4]
9800	-19.91597	-19.4289	-0.4870615	2.071479	0.207342	0.207342	0.2029546	0.2664665	0.4344483	0.09613063	0.202955	0	0.266466	0.434448	0	0.0961306	0.202955	0.266466	0.434448	0.0961306
9900	-17.11758	-10.83002	-6.287567	7.057523	1.0218	1.0218	0.06880833	0.6856382	0.2299355	0.01561799	0.0688083	0	0.685638	0.229936	0	0.015618	0.0688083	0.685638	0.229936	0.015618
10000	-19.49625	-18.62422	-0.872028	2.350759	0.313028	0.313028	0.2469472	0.5074593	0.06447618	0.1811173	0.246947	0	0.507459	0.0644762	0	0.181117	0.246947	0.507459	0.0644762	0.181117
10100	-18.7318	-17.80224	-0.9295529	2.656105	0.0652076	0.0652076	0.08472576	0.5920874	0.2306272	0.0925596	0.0847258	0	0.592087	0.230627	0	0.0925596	0.0847258	0.592087	0.230627	0.0925596
10200	-20.51523	-21.15082	0.6355962	1.064267	0.0918965	0.0918965	0.03287487	0.2468791	0.276684	0.443562	0.0328749	0	0.246879	0.276684	0	0.443562	0.0328749	0.246879	0.276684	0.443562
10300	-21.29062	-20.71423	-0.5763867	1.787503	0.580644	0.580644	0.1098121	0.4078214	0.3039699	0.1783966	0.109812	0	0.407821	0.30397	0	0.178397	0.109812	0.407821	0.30397	0.178397
10400	-24.17948	-25.1014	0.9219225	0.8631629	0.00667405	0.00667405	0.06780913	0.3178103	0.5357328	0.07864784	0.0678091	0	0.31781	0.535733	0	0.0786478	0.0678091	0.31781	0.535733	0.0786478
10500	-18.09165	-17.52127	-0.5703788	1.187983	1.17416	1.17416	0.07515635	0.4597141	0.3671532	0.09797638	0.0751564	0	0.459714	0.367153	0	0.0979764	0.0751564	0.459714	0.367153	0.0979764
10600	-16.66532	-16.75678	0.09146406	1.149837	0.550459	0.550459	0.1629116	0.4813883	0.2706081	0.08509208	0.162912	0	0.481388	0.270608	0	0.0850921	0.162912	0.481388	0.270608	0.0850921
10700	-13.7703	-11.66235	-2.107946	3.841868	0.0578373	0.0578373	0.06740203	0.7943686	0.09171317	0.0465162	0.067402	0	0.794369	0.0917132	0	0.0465162	0.067402	0.794369	0.0917132	0.0465162
10800	-18.52592	-17.99686	-0.5290609	1.83565	0.48517	0.48517	0.1107342	0.4048585	0.2666574	0.2177499	0.110734	0	0.404859	0.266657	0	0.21775	0.110734	0.404859	0.266657	0.21775
10900	-13.97545	-13.90954	-0.06590416	1.595371	0.262292	0.262292	0.05644463	0.5950826	0.2718111	0.07666168	0.0564446	0	0.595083	0.271811	0	0.0766617	0.0564446	0.595083	0.271811	0.0766617
11000	-18.11178	-18.73909	0.6273079	1.154129	0.0103222	0.0103222	0.04113192	0.3080323	0.4656992	0.1851366	0.0411319	0	0.308032	0.465699	0	0.185137	0.0411319	0.308032	0.465699	0.185137
11100	-21.12955	-20.61388	-0.5156748	1.564236	0.743198	0.743198	0.1562534	0.4362269	0.3489791	0.05854063	0.156253	0	0.436227	0.348979	0	0.0585406	0.156253	0.436227	0.348979	0.0585406
11200	-20.41735	-17.50651	-2.910842	4.331963	0.370639	0.370639	0.08753098	0.6144871	0.1959806	0.1020013	0.087531	0	0.614487	0.195981	0	0.102001	0.087531	0.614487	0.195981	0.102001
11300	-15.75186	-14.78518	-0.9666784	2.043015	0.715423	0.715423	0.0545907	0.8164455	0.08428542	0.04467835	0.0545907	0	0.816446	0.0842854	0	0.0446784	0.0545907	0.816446	0.0842854	0.0446784
11400	-20.63338	-18.64063	-1.992747	2.474546	1.30996	1.30996	0.177614	0.4572689	0.1885471	0.17657	0.177614	0	0.457269	0.188547	0	0.17657	0.177614	0.457269	0.188547	0.17657
11500	-19.96077	-19.78781	-0.1729631	1.015241	0.949481	0.949481	0.3108772	0.1895696	0.3003728	0.1991803	0.310877	0	0.18957	0.300373	0	0.19918	0.310877	0.18957	0.300373	0.19918
11600	-20.99724	-20.49616	-0.5010819	1.917713	0.375129	0.375129	0.1312235	0.535998	0.2366887	0.09608979	0.131223	0	0.535998	0.236689	0	0.0960898	0.131223	0.535998	0.236689	0.0960898
11700	-20.1225	-18.59905	-1.523451	2.842694	0.472517	0.472517	0.02104731	0.5918752	0.3334918	0.05358565	0.0210473	0	0.591875	0.333492	0	0.0535857	0.0210473	0.591875	0.333492	0.0535857
11800	-21.51879	-19.07903	-2.439768	3.920694	0.310833	0.310833	0.01430471	0.7511485	0.2009189	0.03362787	0.0143047	0	0.751149	0.200919	0	0.0336279	0.0143047	0.751149	0.200919	0.0336279
11900	-15.29144	-14.30369	-0.9877506	2.527968	0.251542	0.251542	0.03329175	0.5549868	0.3420307	0.06969078	0.0332917	0	0.554987	0.342031	0	0.0696908	0.0332917	0.554987	0.342031	0.0696908
12000	-15.53767	-15.29051	-0.2471621	1.938629	0.100293	0.100293	0.07980944	0.4422382	0.4298489	0.0481034	0.0798094	0	0.442238	0.429849	0	0.0481034	0.0798094	0.442238	0.429849	0.0481034
12100	-15.92893	-16.21056	0.2816322	1.47841	0.0317172	0.0317172	0.1737312	0.3507291	0.2613763	0.2141634	0.173731	0	0.350729	0.261376	0	0.214163	0.173731	0.350729	0.261376	0.214163
